07-05-2023 18:16:29 | INFO | Starting
07-05-2023 18:17:09 | INFO | Shutdown recognized
07-05-2023 18:17:09 | DEBUG | Delete Shutdown-Key from db
07-05-2023 18:17:09 | INFO | Backup skipped
07-05-2023 18:17:09 | INFO | Started shutdown
07-05-2023 18:18:39 | INFO | Starting
07-05-2023 18:25:54 | INFO | Shutdown recognized
07-05-2023 18:25:54 | DEBUG | Delete Shutdown-Key from db
07-05-2023 18:25:54 | INFO | Backup recognized
07-05-2023 18:25:54 | INFO | Creating backup
07-05-2023 18:25:54 | DEBUG | base_path: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1
07-05-2023 18:25:54 | DEBUG | backupPaths: ['\\logs', '\\world', '\\world_nether', '\\world_the_end', '\\plugins']
07-05-2023 18:25:54 | DEBUG | targetPath: E:\backups_mc\2023-07-05 18.25.54
07-05-2023 18:25:55 | INFO | Start to backup: \logs
07-05-2023 18:25:56 | INFO | |--------File: af532a70-5211-4d79-8f37-0f133d4d7e6b.dat.old2
07-05-2023 18:25:56 | INFO | |--------File: af532a70-5211-4d79-8f37-0f133d4d7e6b.dat_old
07-05-2023 18:25:56 | INFO | |--------File: ce0fc093-9e6c-47b1-b1c8-a98f2da2d02b.dat
07-05-2023 18:25:56 | INFO | |--------File: ce0fc093-9e6c-47b1-b1c8-a98f2da2d02b.dat_old
07-05-2023 18:25:56 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world\poi
07-05-2023 18:25:56 | INFO | |--------File: r.-1.-1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.0.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-4.3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.-1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.-2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.-3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.0.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.-2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.-3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.0.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.2.mca
